user_id,group,load_speed,converted,purchase_amount
1,Control,1.740531715,0,0
2,Test,3.16760379,0,0
3,Control,4.491783344,0,0
4,Control,3.928899546,0,0
5,Control,4.226244591,0,0
6,Test,3.635133467,1,60.66
7,Control,3.769106258,1,50.36
8,Control,4.396782606,0,0
9,Control,1.998672035,0,0
10,Test,2.957699855,0,0
11,Control,1.884837767,0,0
12,Control,4.950672032,0,0
13,Control,4.776237359,0,0
14,Control,1.157707245,0,0
15,Test,3.82230069,0,0
16,Control,4.70099327,0,0
17,Test,1.722301381,0,0
18,Test,3.271780922,0,0
19,Test,4.66195319,0,0
20,Control,1.135783914,0,0
21,Test,3.789681069,0,0
22,Control,2.189396029,0,0
23,Test,4.697584782,0,0
24,Test,4.884232981,0,0
25,Test,4.777065956,0,0
26,Test,2.896856867,0,0
27,Test,4.448170604,1,53.46
28,Test,4.378197594,0,0
29,Test,2.276401893,0,0
30,Test,4.315661897,0,0
31,Control,1.148030539,0,0
32,Control,3.385079514,0,0
33,Test,1.920035349,0,0
34,Test,1.482267543,0,0
35,Test,1.307812807,0,0
36,Control,3.785155104,0,0
37,Test,2.359499855,0,0
38,Control,3.899067086,1,65.58
39,Control,1.261425363,0,0
40,Control,2.261161351,0,0
41,Control,3.15796517,0,0
42,Control,4.162892659,1,61.06
43,Test,2.275010012,0,0
44,Test,3.503565506,0,0
45,Test,4.543910993,0,0
46,Test,3.463452753,0,0
47,Test,1.931837899,0,0
48,Control,1.097603126,0,0
49,Test,4.480395496,0,0
50,Test,1.085077643,0,0
51,Control,4.498806691,0,0
52,Test,3.115748536,0,0
53,Control,4.756270794,0,0
54,Test,4.195132943,0,0
55,Control,4.991736442,0,0
56,Test,2.402847262,1,78.11
57,Test,4.068753156,0,0
58,Control,2.607723654,0,0
59,Control,2.919502481,0,0
60,Control,3.510021853,1,63.5
61,Control,4.494708457,0,0
62,Control,4.936333877,0,0
63,Control,4.073093655,0,0
64,Control,2.671067129,0,0
65,Control,2.685428009,0,0
66,Test,3.950329206,0,0
67,Test,1.955108583,0,0
68,Control,1.441896453,1,79.19
69,Test,2.418488631,0,0
70,Test,2.148955967,0,0
71,Test,2.185232482,0,0
72,Test,1.934431004,0,0
73,Control,1.168372759,0,0
74,Test,1.071495739,0,0
75,Control,4.950889559,0,0
76,Test,2.711092535,1,75.47
77,Test,2.537306589,1,70.46
78,Test,3.718589131,0,0
79,Control,1.873015551,0,0
80,Test,4.799844736,1,62.92
81,Control,4.145380058,0,0
82,Test,1.357644009,1,89.28
83,Control,2.670323103,0,0
84,Test,4.51647323,0,0
85,Control,4.778928089,0,0
86,Control,2.869606045,0,0
87,Test,3.453645557,0,0
88,Control,1.668135784,0,0
89,Test,4.964674505,0,0
90,Test,1.926686806,0,0
91,Test,4.770927097,0,0
92,Test,3.598586596,1,61.11
93,Test,3.43094718,0,0
94,Test,3.050754044,1,66.44
95,Test,1.922679247,0,0
96,Test,1.706112128,0,0
97,Test,1.881944836,1,80.72
98,Test,1.745753049,0,0
99,Test,4.118337894,0,0
100,Control,2.400501037,0,0
101,Control,1.231370706,0,0
102,Test,4.876410521,0,0
103,Test,4.53514354,1,53.45
104,Test,4.711009133,0,0
105,Test,4.979631291,0,0
106,Test,1.695580997,0,0
107,Test,2.584968076,0,0
108,Test,4.032953903,0,0
109,Test,3.784082472,0,0
110,Control,1.615583625,0,0
111,Test,4.2633325,0,0
112,Control,1.897762287,0,0
113,Test,1.895270459,0,0
114,Test,3.147897692,0,0
115,Control,3.371759739,0,0
116,Test,3.320344831,1,72.38
117,Control,1.36594735,0,0
118,Test,4.509843451,0,0
119,Test,2.06240017,0,0
